id,title,author,year,isbn,status
1,Crystal Shadow Quantum River,Tim Berners-Lee,1967,9788196001338,AVAILABLE
2,Shadow Voyage Dawn Whisper,Mary Gosling,1978,9784026542351,AVAILABLE
3,Signal Crystal,Ken Thompson,1983,9787816184959,AVAILABLE
4,Whisper Storm,Alan Berners-Lee,1987,9783164752553,AVAILABLE
5,River Whisper Halo Glass,Grace Lamarr,1971,9783276483503,AVAILABLE
6,Circuit Garden,Guido Hamilton,1958,9789537672423,OUT
7,Voyage Voyage River Quantum,Satoshi Gosling,2024,9783287101226,AVAILABLE
8,Storm Signal Signal Code,Frances Shannon,1982,9780184514627,AVAILABLE
9,Quantum Dream,Margaret Shannon,1972,9781489325288,AVAILABLE
10,Code Garden,John Lovelace,1964,9784303911718,AVAILABLE
11,Moon Glass,John Jackson,1971,9789638346578,OUT
12,Crystal Night Night,Grace Ritchie,1952,9783930103105,AVAILABLE
13,Echo Night,Margaret Backus,1977,9789973763116,AVAILABLE
14,Cipher Cipher Archive,Alan Knuth,1957,9785133387262,AVAILABLE
15,Archive Night Phoenix,Grace Allen,2020,9788013267736,OUT
16,Iron Signal,Ada van Rossum,1983,9787468723430,AVAILABLE
17,Quantum Voyage Empire Quantum,Dennis Turing,1956,9788820812191,AVAILABLE
18,Phoenix Night Signal Crystal,Satoshi Berners-Lee,2024,9789169985435,AVAILABLE
19,River Signal,Barbara Johnson,2008,9781079911838,OUT
20,Moon Halo Machine,Grace Berners-Lee,1997,9787849808412,OUT
21,Crystal Dream Crystal,Mary Liskov,1984,9783534874016,OUT
22,Empire Shadow Garden,Barbara Hamilton,1970,9788680112805,AVAILABLE
23,Voyage Moon Cipher Moon,Alan Johnson,1996,9780533158692,AVAILABLE
24,Phoenix Iron,Edsger Gosling,1953,9785634216073,OUT
25,Harbor Halo,Frances Thompson,1989,9783303654145,AVAILABLE
26,Echo Signal Glass Harbor,Mary Ritchie,1953,9784294019655,OUT
27,Code Echo Crystal,Guido Nakamoto,1974,9786088356159,OUT
28,Glass Phoenix Crystal,Katherine Shannon,1989,9785648236629,AVAILABLE
29,Star Signal Voyage Harbor,Ada Johnson,1986,9789957773872,OUT
30,Storm Star Echo Glass,Hedy Ritchie,1961,9783433200379,AVAILABLE
31,Archive Cipher,Satoshi Torvalds,1999,9783201632870,AVAILABLE
32,Night Halo Phoenix Crystal,Frances Liskov,2009,9788957986872,AVAILABLE
33,Phoenix Labyrinth Archive River,Tim Hamilton,2016,9783471434558,AVAILABLE
34,Moon Moon,Tim van Rossum,1969,9781665876036,AVAILABLE
35,Dream Atlas Dust,Ada Nakamoto,1998,9785466889373,AVAILABLE
36,Cipher Labyrinth Shadow,Guido Ritchie,2001,9787298069901,AVAILABLE
37,Cipher Moon Phoenix Archive,Edsger Turing,1983,9783755646417,AVAILABLE
38,Quantum Voyage,Alan Thompson,1978,9780033092327,AVAILABLE
39,Crystal Dust Dawn Archive,Margaret Thompson,1971,9781241904966,AVAILABLE
40,Dawn Storm Dust Whisper,Tim Knuth,1988,9789190586518,AVAILABLE
41,Garden Shadow Phoenix Cipher,John Knuth,2005,9787262849877,AVAILABLE
42,Harbor Quantum Dust,Margaret Ritchie,1981,9781473799650,AVAILABLE
43,Phoenix Garden Iron,John Torvalds,1995,9785494808313,AVAILABLE
44,Cipher Labyrinth Voyage Atlas,Tim Backus,2012,9780143634957,AVAILABLE
45,Echo Machine Cipher Quantum,Mary Ritchie,1995,9784443135182,AVAILABLE
46,Dawn Quantum,John Hamilton,2017,9781343524082,AVAILABLE
47,Empire Empire Voyage,Katherine Liskov,2012,9780947775204,OUT
48,Crystal Harbor Storm,Guido Backus,1959,9780229413186,AVAILABLE
49,Code Circuit Code Night,Claude van Rossum,2007,9784964990913,AVAILABLE
50,Dawn River Glass Storm,Edsger Berners-Lee,1972,9782067974034,AVAILABLE
51,Star Whisper Phoenix Archive,Grace Berners-Lee,1983,9789361832421,AVAILABLE
52,Iron Circuit,Katherine Lamarr,2022,9787174648877,AVAILABLE
53,Code Empire,James Ritchie,1982,9783990490278,OUT
54,Archive Halo River Iron,Satoshi Gosling,2012,9787565512567,AVAILABLE
55,Glass Signal Harbor,Mary Turing,2008,9784516808760,OUT
56,Echo Machine,Hedy Backus,2006,9783482477109,AVAILABLE
57,Whisper Iron,Katherine Jackson,1951,9781317127484,AVAILABLE
58,Harbor Labyrinth Labyrinth,Tim Allen,2020,9783982146584,OUT
59,Star Quantum,Katherine Nakamoto,2024,9787278755886,AVAILABLE
60,Halo Garden Phoenix,Linus Berners-Lee,2023,9786057662702,AVAILABLE
61,Dust Garden Phoenix Crystal,Frances Knuth,2017,9780262174596,AVAILABLE
62,Storm Phoenix Garden Phoenix,Mary van Rossum,1990,9787809134316,AVAILABLE
63,Atlas Fire,Donald Allen,1971,9780050455623,AVAILABLE
64,Cipher Dust Glass Circuit,Edsger Dijkstra,1972,9786937923747,OUT
65,Glass Shadow Dream,Frances Johnson,2019,9787594647436,OUT
66,Crystal Night Signal,Satoshi Thompson,2023,9784064090974,OUT
67,Code Circuit,Ken Berners-Lee,1974,9782104709521,AVAILABLE
68,Garden Quantum Cipher,Edsger Torvalds,1966,9785884247451,AVAILABLE
