id,book_id,member_id,loan_date,return_date,status
1,4612,1185,2024-09-03,2024-10-03,RETURNED
2,1362,744,2024-05-08,2024-05-10,RETURNED
3,3609,1094,2024-10-03,,OUT
4,4852,1639,2024-05-28,,OUT
5,1047,1364,2024-07-09,,OUT
6,1077,1430,2024-03-02,2024-03-03,RETURNED
7,4509,833,2024-11-17,2024-12-10,RETURNED
8,2626,12,2024-10-25,2024-11-10,RETURNED
9,316,214,2024-11-11,,OUT
10,32,753,2024-11-17,2024-11-27,RETURNED
11,3647,173,2024-07-24,,OUT
12,2273,530,2024-03-02,,OUT
13,1886,1949,2024-07-17,2024-08-12,RETURNED
14,1267,1479,2024-06-06,2024-06-13,RETURNED
15,3485,1900,2024-01-14,,OUT
16,1529,963,2024-11-27,2024-12-03,RETURNED
17,3753,12,2024-11-02,2024-11-18,RETURNED
18,3490,93,2024-03-25,2024-04-16,RETURNED
19,2054,19,2024-03-08,2024-03-16,RETURNED
20,2648,1576,2024-08-04,2024-08-22,RETURNED
21,3765,1211,2024-07-10,,OUT
22,4704,1202,2024-02-18,,OUT
23,3289,280,2024-11-01,2024-11-15,RETURNED
24,4917,1812,2024-08-08,2024-08-10,RETURNED
25,4356,398,2024-03-13,2024-03-31,RETURNED
26,3750,1134,2024-03-08,2024-03-09,RETURNED
27,4487,396,2024-12-13,,OUT
28,387,174,2024-08-28,,OUT
29,3673,822,2024-05-26,,OUT
30,2041,1763,2024-11-29,2024-12-12,RETURNED
31,398,770,2024-01-14,,OUT
32,3356,188,2024-04-05,,OUT
33,1595,459,2024-08-18,2024-09-14,RETURNED
34,4666,1913,2024-06-26,2024-07-13,RETURNED
35,4668,885,2024-09-16,,OUT
36,1853,1959,2024-05-10,2024-05-25,RETURNED
37,1142,1756,2024-05-24,2024-06-04,RETURNED
38,4930,1193,2024-09-08,2024-09-27,RETURNED
39,3498,1080,2024-08-03,,OUT
40,485,690,2024-12-04,,OUT
41,3100,991,2024-03-12,2024-03-20,RETURNED
42,3184,17,2024-09-24,,OUT
43,2763,1958,2024-03-28,,OUT
44,1729,1216,2024-02-11,2024-03-02,RETURNED
45,4232,1799,2024-08-02,,OUT
46,3934,1449,2024-09-02,2024-10-01,RETURNED
47,253,283,2024-10-11,2024-11-10,RETURNED
48,4494,1573,2024-10-26,2024-11-01,RETURNED
49,4415,1451,2024-04-05,,OUT
50,856,1617,2024-04-07,,OUT
51,4785,1859,2024-08-22,2024-09-11,RETURNED
52,777,282,2024-05-03,,OUT
53,2869,1466,2024-06-26,2024-07-03,RETURNED
54,2892,216,2024-08-17,2024-08-27,RETURNED
55,4781,773,2024-12-22,,OUT
56,3192,1110,2024-06-07,2024-06-23,RETURNED
57,858,1520,2024-11-04,,OUT
58,850,623,2024-04-26,2024-05-25,RETURNED
59,4998,763,2024-02-16,2024-03-16,RETURNED
60,3419,238,2024-11-28,2024-12-04,RETURNED
61,2183,1580,2024-01-03,,OUT
62,4728,516,2024-08-22,2024-09-12,RETURNED
63,1585,1720,2024-02-02,,OUT
64,1652,769,2024-02-20,,OUT
65,1771,594,2024-11-25,,OUT
66,2468,1091,2024-07-15,2024-08-05,RETURNED
67,767,698,2024-04-06,2024-04-29,RETURNED
68,3934,1960,2024-04-25,2024-05-02,RETURNED
69,1711,526,2024-02-03,2024-02-13,RETURNED
70,3167,343,2024-10-25,,OUT
71,3947,69,2024-11-05,,OUT
72,312,157,2024-05-22,,OUT
73,2590,746,2024-11-24,2024-12-21,RETURNED
74,1394,829,2024-04-30,2024-05-02,RETURNED
75,2723,1020,2024-01-15,,OUT
76,2035,842,2024-05-07,,OUT
77,2117,1230,2024-04-25,2024-05-16,RETURNED
78,2236,1437,2024-06-17,2024-06-29,RETURNED
79,4775,870,2024-07-29,2024-08-18,RETURNED
80,653,1699,2024-05-29,2024-06-03,RETURNED
81,2799,118,2024-05-13,2024-05-26,RETURNED
82,869,980,2024-02-09,,OUT
83,4032,1790,2024-02-27,2024-03-24,RETURNED
84,4028,222,2024-02-13,2024-02-26,RETURNED
85,1972,1974,2024-01-08,2024-01-10,RETURNED
86,3341,1381,2024-12-22,2024-12-25,RETURNED
87,1596,198,2024-04-02,,OUT
88,1055,1771,2024-10-24,2024-11-10,RETURNED
89,3751,1935,2024-05-10,2024-05-23,RETURNED
90,4247,486,2024-06-14,,OUT
91,3112,163,2024-03-09,2024-04-06,RETURNED
92,1559,580,2024-08-06,2024-08-09,RETURNED
93,4711,280,2024-07-20,,OUT
94,4866,1555,2024-04-08,,OUT
95,318,887,2024-11-30,,OUT
96,4264,1325,2024-03-13,,OUT
97,1880,1759,2024-01-03,,OUT
98,2208,791,2024-04-23,,OUT
99,4349,168,2024-10-10,2024-10-29,RETURNED
100,2941,651,2024-10-24,2024-11-07,RETURNED
101,715,1829,2024-08-11,2024-09-05,RETURNED
102,4521,1404,2024-10-29,2024-11-07,RETURNED
103,4672,87,2024-12-20,2024-12-31,RETURNED
104,1037,130,2024-03-28,2024-04-04,RETURNED
105,103,1136,2024-12-26,,OUT
106,1784,1492,2024-08-07,2024-08-14,RETURNED
107,3128,693,2024-07-30,2024-08-11,RETURNED
108,3300,1204,2024-07-15,2024-07-24,RETURNED
109,1475,65,2024-10-30,2024-11-10,RETURNED
110,4539,1698,2024-03-19,,OUT
111,2603,16,2024-11-25,,OUT
112,3455,1977,2024-06-13,2024-07-12,RETURNED
113,3121,922,2024-01-18,,OUT
114,3422,1586,2024-03-14,2024-04-11,RETURNED
115,4515,1031,2024-12-29,2024-12-31,RETURNED
116,2923,1822,2024-10-05,,OUT
117,591,831,2024-07-02,2024-07-12,RETURNED
118,4846,129,2024-05-23,,OUT
119,3122,1079,2024-07-13,,OUT
120,1486,727,2024-08-13,,OUT
121,2250,1239,2024-10-16,2024-11-10,RETURNED
122,2772,25,2024-04-20,,OUT
123,1696,1033,2024-11-15,,OUT
124,2207,1670,2024-12-29,2024-12-31,RETURNED
125,69,1227,2024-02-03,2024-03-02,RETURNED
126,2099,321,2024-03-24,,OUT
127,4580,1648,2024-06-03,,OUT
128,1309,432,2024-12-10,2024-12-11,RETURNED
129,3861,564,2024-09-13,2024-10-11,RETURNED
130,2879,385,2024-05-16,2024-06-13,RETURNED
131,58,253,2024-01-29,2024-02-13,RETURNED
132,2376,1166,2024-11-18,2024-11-23,RETURNED
133,3052,1855,2024-09-09,,OUT
134,3072,1191,2024-08-22,2024-09-09,RETURNED
135,486,619,2024-07-20,2024-07-30,RETURNED
136,3410,1677,2024-05-31,2024-06-08,RETURNED
137,1101,731,2024-02-25,2024-03-22,RETURNED
138,4857,1256,2024-09-18,2024-09-24,RETURNED
139,4046,1329,2024-01-15,2024-02-07,RETURNED
140,4197,1263,2024-08-26,2024-09-21,RETURNED
141,1834,1783,2024-11-06,2024-11-23,RETURNED
142,2718,1060,2024-08-21,2024-09-07,RETURNED
143,404,822,2024-08-10,2024-08-21,RETURNED
144,1206,544,2024-09-21,2024-10-03,RETURNED
145,1830,66,2024-05-06,,OUT
146,4515,1747,2024-08-06,2024-08-21,RETURNED
147,1693,51,2024-05-09,2024-05-11,RETURNED
148,63,107,2024-11-15,2024-11-28,RETURNED
149,2851,1686,2024-11-26,2024-12-03,RETURNED
150,4084,384,2024-11-05,2024-11-19,RETURNED
151,4133,1583,2024-09-08,2024-10-01,RETURNED
152,1122,1575,2024-09-20,2024-10-08,RETURNED
153,2207,557,2024-02-26,,OUT
154,3014,473,2024-11-28,,OUT
155,152,1866,2024-03-27,2024-04-24,RETURNED
156,3549,1234,2024-01-12,2024-01-29,RETURNED
157,4079,983,2024-06-10,2024-07-10,RETURNED
158,4055,1089,2024-09-06,,OUT
159,3061,1216,2024-05-18,2024-05-28,RETURNED
160,3368,1666,2024-05-03,2024-05-09,RETURNED
161,4109,1369,2024-07-08,2024-07-20,RETURNED
162,3861,633,2024-08-06,,OUT
163,394,1983,2024-08-06,2024-08-17,RETURNED
164,1262,1004,2024-04-25,,OUT
165,4894,1330,2024-07-13,,OUT
166,1267,1086,2024-10-16,2024-11-10,RETURNED
167,425,164,2024-09-12,2024-10-01,RETURNED
168,3198,1939,2024-07-20,2024-08-10,RETURNED
169,4093,1453,2024-03-04,,OUT
170,1634,1824,2024-01-10,2024-01-25,RETURNED
171,2992,1175,2024-03-11,,OUT
172,3686,1890,2024-11-15,2024-12-06,RETURNED
173,3138,780,2024-10-14,,OUT
174,278,1631,2024-01-10,,OUT
175,1703,1580,2024-02-18,,OUT
176,1130,1568,2024-08-02,2024-08-05,RETURNED
177,1103,1985,2024-06-14,,OUT
178,2790,962,2024-11-12,2024-12-11,RETURNED
179,3061,1874,2024-03-07,,OUT
180,392,372,2024-12-19,,OUT
181,4932,1254,2024-01-31,2024-02-07,RETURNED
182,3500,1280,2024-08-12,2024-08-31,RETURNED
183,2334,527,2024-08-20,2024-09-04,RETURNED
184,2349,1667,2024-10-31,,OUT
185,360,1787,2024-06-27,,OUT
186,842,1147,2024-03-30,2024-04-07,RETURNED
187,3092,1186,2024-12-04,2024-12-31,RETURNED
188,1432,217,2024-11-07,2024-11-30,RETURNED
189,3518,1475,2024-09-02,2024-09-17,RETURNED
190,680,1614,2024-01-16,2024-01-29,RETURNED
191,4720,1555,2024-05-21,2024-05-29,RETURNED
192,4515,1455,2024-01-29,,OUT
193,1615,1208,2024-03-12,2024-04-08,RETURNED
194,4453,211,2024-12-30,2024-12-31,RETURNED
195,2912,1377,2024-03-30,2024-04-16,RETURNED
196,3550,1842,2024-10-21,,OUT
197,1604,63,2024-11-20,,OUT
198,2827,198,2024-03-28,2024-04-27,RETURNED
199,3620,1651,2024-11-11,2024-11-15,RETURNED
200,3394,1513,2024-08-22,,OUT
201,616,505,2024-09-03,2024-09-05,RETURNED
202,839,1032,2024-12-13,2024-12-31,RETURNED
203,997,200,2024-01-12,2024-01-19,RETURNED
204,2880,713,2024-03-27,2024-04-13,RETURNED
205,2101,753,2024-12-29,,OUT
206,3630,1499,2024-12-26,,OUT
207,3034,1826,2024-12-03,2024-12-25,RETURNED
208,4101,1430,2024-10-01,,OUT
209,4449,914,2024-12-10,2024-12-31,RETURNED
210,4982,1505,2024-05-19,,OUT
211,3169,975,2024-10-30,2024-11-23,RETURNED
212,4241,45,2024-09-16,2024-09-26,RETURNED
213,3815,835,2024-03-05,,OUT
214,4722,1176,2024-07-24,2024-08-18,RETURNED
215,2037,404,2024-06-05,2024-07-03,RETURNED
216,597,1419,2024-08-27,2024-08-31,RETURNED
217,4026,977,2024-02-13,,OUT
218,1287,124,2024-04-15,2024-04-29,RETURNED
219,2117,225,2024-03-04,2024-03-26,RETURNED
220,2418,928,2024-05-18,2024-06-02,RETURNED
221,4617,1171,2024-04-12,2024-04-25,RETURNED
222,4224,515,2024-09-30,2024-10-18,RETURNED
223,3383,1546,2024-05-06,2024-05-15,RETURNED
224,3198,1222,2024-10-06,2024-10-27,RETURNED
225,3368,1094,2024-06-28,2024-07-01,RETURNED
226,1835,175,2024-03-24,2024-04-15,RETURNED
227,3843,438,2024-02-10,,OUT
228,1048,1631,2024-10-01,,OUT
229,4978,1894,2024-01-01,,OUT
230,1569,832,2024-11-23,,OUT
231,1150,1216,2024-02-23,2024-03-17,RETURNED
232,966,1389,2024-07-17,,OUT
233,2350,698,2024-02-13,2024-03-10,RETURNED
234,4472,694,2024-12-22,2024-12-25,RETURNED
235,1587,1558,2024-01-03,2024-02-01,RETURNED
236,4905,1059,2024-02-12,2024-03-03,RETURNED
237,826,1608,2024-03-02,2024-03-25,RETURNED
238,2674,1244,2024-12-06,2024-12-11,RETURNED
239,2160,1971,2024-09-27,2024-10-07,RETURNED
240,1924,1955,2024-01-28,2024-02-18,RETURNED
241,3355,964,2024-05-31,,OUT
242,4005,237,2024-03-05,,OUT
243,4295,1124,2024-11-09,,OUT
244,1756,1449,2024-11-04,2024-11-23,RETURNED
245,4087,1254,2024-07-18,2024-08-03,RETURNED
246,4194,1264,2024-11-06,2024-11-12,RETURNED
247,2249,403,2024-09-09,,OUT
248,1735,890,2024-08-26,2024-08-31,RETURNED
249,1661,1499,2024-07-06,2024-07-20,RETURNED
250,1981,957,2024-02-21,,OUT
251,4190,1396,2024-10-15,2024-10-30,RETURNED
252,1564,416,2024-06-24,2024-06-27,RETURNED
253,1587,1302,2024-12-06,,OUT
254,2736,289,2024-05-29,2024-06-17,RETURNED
255,3066,1726,2024-04-27,2024-05-04,RETURNED
256,367,1997,2024-08-21,2024-08-26,RETURNED
257,978,1053,2024-08-26,,OUT
258,1607,599,2024-06-09,2024-07-06,RETURNED
259,3988,1676,2024-09-19,,OUT
260,1889,1164,2024-10-17,2024-11-11,RETURNED
261,3863,594,2024-03-01,,OUT
262,1907,251,2024-12-30,,OUT
263,2131,835,2024-11-20,2024-12-20,RETURNED
264,4622,1005,2024-09-19,2024-09-27,RETURNED
265,3628,1598,2024-01-26,2024-01-31,RETURNED
266,2295,1997,2024-09-07,2024-10-07,RETURNED
267,490,1717,2024-02-17,,OUT
268,1840,1044,2024-05-03,2024-05-10,RETURNED
269,1808,172,2024-02-11,,OUT
270,3680,1853,2024-11-06,2024-11-15,RETURNED
271,2090,696,2024-03-29,2024-04-19,RETURNED
272,3508,1367,2024-11-04,2024-11-17,RETURNED
273,1503,1342,2024-06-04,,OUT
